,freq,F_abs_amp
0,0.0,0.08584385529142875
1,0.004,0.08556894252523638
2,0.008,0.0847526953700846
3,0.012,0.08342048340726056
4,0.016,0.08161471616051402
5,0.02,0.07939544996688287
6,0.024,0.0768410954374952
7,0.028,0.07404918731838225
8,0.032,0.07113703334247962
9,0.036000000000000004,0.06824166511652713
10,0.04,0.06551802306718933
11,0.044,0.0631337504054752
12,0.048,0.061258924602049035
13,0.052000000000000005,0.060050250841237586
14,0.056,0.0596312148562423
15,0.06,0.0600732284331958
16,0.064,0.06138510796813488
17,0.068,0.06351539754918005
18,0.07200000000000001,0.06636702395198256
19,0.076,0.06981786998986207
20,0.08,0.073739553958427
21,0.084,0.07801137718207192
22,0.088,0.08253043078174732
23,0.092,0.08721826689107728
24,0.096,0.09202373893279685
25,0.1,0.09692361274320971
26,0.10400000000000001,0.10192306708257709
27,0.108,0.10705495714217247
28,0.112,0.11237614493708677
29,0.116,0.11796187754617248
30,0.12,0.12389820330464861
31,0.124,0.13027271007506666
32,0.128,0.13716432999196318
33,0.132,0.1446326884430295
34,0.136,0.15270862864618096
35,0.14,0.1613874721788805
36,0.14400000000000002,0.1706256502835288
37,0.148,0.18034066598458404
38,0.152,0.19041415800134592
39,0.156,0.20069742725272557
40,0.16,0.2110185684244792
41,0.164,0.22119053986896475
42,0.168,0.23101975551925338
43,0.17200000000000001,0.24031432332408253
44,0.176,0.24889216275642867
45,0.18,0.25658880154835656
46,0.184,0.2632642211464493
47,0.188,0.26880934410751844
48,0.192,0.2731517875027456
49,0.196,0.27626129434560964
50,0.2,0.27815658203441845
51,0.20400000000000001,0.2789133950100543
52,0.20800000000000002,0.27867373674857304
53,0.212,0.2776555005608825
54,0.216,0.27616091147733973
55,0.22,0.2745851561593435
56,0.224,0.27342454585157044
57,0.228,0.2732783401243793
58,0.232,0.27483406571498104
59,0.23600000000000002,0.278832255301437
60,0.24,0.28601305586936476
61,0.244,0.29705047493126807
62,0.248,0.3124893202298667
63,0.252,0.3326997872024362
64,0.256,0.35785663802340356
65,0.26,0.3879444264390141
66,0.264,0.42278353251424083
67,0.268,0.4620645287405067
68,0.272,0.5053895454854525
69,0.276,0.552320667170125
70,0.28,0.6024248806124342
71,0.28400000000000003,0.6553013572435477
72,0.28800000000000003,0.710594322919761
73,0.292,0.7680094245493446
74,0.296,0.8273285819139137
75,0.3,0.888411725466762
76,0.304,0.9511847558670405
77,0.308,1.015618377331896
78,0.312,1.0816988550209907
79,0.316,1.1493957891094153
80,0.32,1.2186288301671533
81,0.324,1.2892346659605183
82,0.328,1.3609396543888013
83,0.332,1.4333397164537869
84,0.336,1.505892037362709
85,0.34,1.5779197078567584
86,0.34400000000000003,1.648626582933391
87,0.34800000000000003,1.7171213799425253
88,0.352,1.7824498883986133
89,0.356,1.8436345398581098
90,0.36,1.8997204991472887
91,0.364,1.9498262975798477
92,0.368,1.9931958594735266
93,0.372,2.0292461765304504
94,0.376,2.0576075746399596
95,0.38,2.0781575553266287
96,0.384,2.091048492610115
97,0.388,2.0967251011206565
98,0.392,2.0959271489722213
99,0.396,2.0896750674598
100,0.4,2.079236853383291
101,0.404,2.06607600450184
102,0.40800000000000003,2.051781481506396
103,0.41200000000000003,2.0379857815776012
104,0.41600000000000004,2.0262773638962415
105,0.42,2.018111514966145
106,0.424,2.0147308604265097
107,0.428,2.0171075800699376
108,0.432,2.025909104949744
109,0.436,2.041490299689741
110,0.44,2.0639156405315924
111,0.444,2.093006854368924
112,0.448,2.1284050687201663
113,0.452,2.169630475564787
114,0.456,2.2161301317476845
115,0.46,2.267315545382285
116,0.464,2.3225872324008834
117,0.468,2.381342293981229
118,0.47200000000000003,2.4429716569043496
119,0.47600000000000003,2.506853520354103
120,0.48,2.572341683756622
121,0.484,2.638753282323826
122,0.488,2.705360885841647
123,0.492,2.771390512064845
124,0.496,2.836026811981233
125,0.5,2.898425499158338
126,0.504,2.957728762247152
127,0.508,3.0130807864412614
128,0.512,3.063643271152021
129,0.516,3.10861065580555
130,0.52,3.147222966217598
131,0.524,3.17877547194874
132,0.528,3.2026259975558307
133,0.532,3.2182010553190925
134,0.536,3.2250034757981703
135,0.54,3.2226215163630214
136,0.544,3.210739155578397
137,0.548,3.1891478538268307
138,0.552,3.1577589716457775
139,0.556,3.1166172186283285
140,0.56,3.0659145928937788
141,0.5640000000000001,3.006002592570153
142,0.5680000000000001,2.9374014563081494
143,0.5720000000000001,2.860805134580731
144,0.5760000000000001,2.7770805760256483
145,0.58,2.6872615302670932
146,0.584,2.5925388772952553
147,0.588,2.4942489229714644
148,0.592,2.393857372380597
149,0.596,2.2929342140755065
150,0.6,2.1931202201085114
151,0.604,2.096089624053445
152,0.608,2.0035120368433774
153,0.612,1.9170132191860179
154,0.616,1.8381322127119377
155,0.62,1.7682773662959268
156,0.624,1.7086933391571626
157,0.628,1.6604430638076677
158,0.632,1.624400603579939
159,0.636,1.601274731419419
160,0.64,1.5916611903175486
161,0.644,1.596089733914654
162,0.648,1.6150533090607695
163,0.652,1.6490221737570998
164,0.656,1.6984363678826457
165,0.66,1.7636776607051525
166,0.664,1.8450413445880511
167,0.668,1.9427305886236481
168,0.672,2.0568609365436683
169,0.676,2.1874392923875647
170,0.68,2.3343198274039256
171,0.684,2.4971598377066395
172,0.6880000000000001,2.675381100332504
173,0.6920000000000001,2.868144893909722
174,0.6960000000000001,3.0743361777756264
175,0.7000000000000001,3.292548875898615
176,0.704,3.5210930811521535
177,0.708,3.7580192423138765
178,0.712,4.0011503188586275
179,0.716,4.248133111141528
