,freq,F_abs_amp
0,0.0,14.287399970617725
1,0.004,14.23639073981289
2,0.008,14.084349494243677
3,0.012,13.83420992644257
4,0.016,13.49077685194805
5,0.02,13.060602410027336
6,0.024,12.55181861996579
7,0.028,11.973932791811967
8,0.032,11.3375926957725
9,0.036000000000000004,10.654328468928078
10,0.04,9.936280794816891
11,0.044,9.19592528535806
12,0.048,8.44580325248868
13,0.052000000000000005,7.698268922443017
14,0.056,6.965262813298752
15,0.06,6.25811862960038
16,0.064,5.587404998537795
17,0.068,4.962794194272073
18,0.07200000000000001,4.3929389306443705
19,0.076,3.885313779378956
20,0.08,3.445942517916026
21,0.084,3.078925190383204
22,0.088,2.7857330744282875
23,0.092,2.5644435508730243
24,0.096,2.409399257231384
25,0.1,2.311991766799842
26,0.10400000000000001,2.262729783104136
27,0.108,2.253821977170113
28,0.112,2.2812085270296762
29,0.116,2.345380009847904
30,0.12,2.4507330747795164
31,0.124,2.603731189458187
32,0.128,2.8105399713025587
33,0.132,3.075047176774787
34,0.136,3.397840880725683
35,0.14,3.7760968791081657
36,0.14400000000000002,4.204061321523546
37,0.148,4.673755379232771
38,0.152,5.175633685055415
39,0.156,5.699102629476209
40,0.16,6.232915854766199
41,0.164,6.765494191203687
42,0.168,7.285211423237096
43,0.17200000000000001,7.780665099637463
44,0.176,8.240940303317046
45,0.18,8.655866575585808
46,0.184,9.016265358205871
47,0.188,9.3141838299648
48,0.192,9.543107925605087
49,0.196,9.698145052240694
50,0.2,9.776170968343369
51,0.20400000000000001,9.775947437223008
52,0.20800000000000002,9.69820540550432
53,0.212,9.545682278879742
54,0.216,9.323129627702246
55,0.22,9.037303456885489
56,0.224,8.696962670027702
57,0.228,8.312910850090061
58,0.232,7.898096568552687
59,0.23600000000000002,7.468026787605068
60,0.24,7.041939968889192
61,0.244,6.645054588107551
62,0.248,6.311480583878585
63,0.252,6.08602155444019
64,0.256,6.021892621451827
65,0.26,6.17143920230758
66,0.264,6.5716319763990505
67,0.268,7.233488772303718
68,0.272,8.143460220372777
69,0.276,9.273261668868761
70,0.28,10.589310250780883
71,0.28400000000000003,12.057685275048055
72,0.28800000000000003,13.64548271958871
73,0.292,15.320619107816844
74,0.296,17.051335126506284
75,0.3,18.80586402780155
76,0.304,20.55238886844192
77,0.308,22.259270971903014
78,0.312,23.895490679831774
79,0.316,25.431221298961017
80,0.32,26.838483206296
81,0.324,28.091839727902425
82,0.328,29.169070653761043
83,0.332,30.051769524607522
84,0.336,30.725841527436305
85,0.34,31.181884777626767
86,0.34400000000000003,31.415441771997795
87,0.34800000000000003,31.42711065003982
88,0.352,31.222507676072457
89,0.356,30.812078645089674
90,0.36,30.210763221459914
91,0.364,29.437521063789635
92,0.368,28.514739514348584
93,0.372,27.467534239317537
94,0.376,26.322953757233204
95,0.38,25.109115297109735
96,0.384,23.85429779800539
97,0.388,22.586019246321005
98,0.392,21.330137400887068
99,0.396,20.110029572675185
100,0.4,18.945921749235303
101,0.404,17.85442921764369
102,0.40800000000000003,16.84838594576409
103,0.41200000000000003,15.937091563131617
104,0.41600000000000004,15.127069779618452
105,0.42,14.423227191339121
106,0.424,13.830181617347098
107,0.428,13.353505577742784
108,0.432,13.000448098702456
109,0.436,12.779803546745962
110,0.44,12.700806297945636
111,0.444,12.771204876852085
112,0.448,12.994952559170798
113,0.452,13.37028248914187
114,0.456,13.88888832716764
115,0.46,14.536337248448898
116,0.464,15.293610255064856
117,0.468,16.13929788178027
118,0.47200000000000003,17.051629051996784
119,0.47600000000000003,18.009888568901758
120,0.48,18.995505671677336
121,0.484,19.99285926726473
122,0.488,20.98983823094534
123,0.492,21.97828766618234
124,0.496,22.954170600368148
125,0.5,23.918269853269322
126,0.504,24.877399840418512
127,0.508,25.84562517527854
128,0.512,26.845519681355693
129,0.516,27.908641997333135
130,0.52,29.075329368554875
131,0.524,30.393191516356467
132,0.528,31.913992040366935
133,0.532,33.689226796940254
134,0.536,35.76469854100768
135,0.54,38.17530739352328
136,0.544,40.940883833878765
137,0.548,44.063813449273745
138,0.552,47.52865298429415
139,0.556,51.30333718081543
140,0.56,55.341406948528636
141,0.5640000000000001,59.58462057359176
142,0.5680000000000001,63.96563584613402
143,0.5720000000000001,68.41056072831033
144,0.5760000000000001,72.84132508012671
145,0.58,77.17787438850138
146,0.584,81.3402110423633
147,0.588,85.25032009418973
148,0.592,88.8339840701637
149,0.596,92.0224684711279
150,0.6,94.75407349684068
151,0.604,96.97552365453238
152,0.608,98.6431498897456
153,0.612,99.72384164340374
154,0.616,100.19574312425814
155,0.62,100.04867712426307
156,0.624,99.28427977675258
157,0.628,97.91583840628789
158,0.632,95.9678407554643
159,0.636,93.47526440945543
160,0.64,90.48261927547307
161,0.644,87.04276563306789
162,0.648,83.21554528986101
163,0.652,79.06626130567163
164,0.656,74.66404571445203
165,0.66,70.08017200925394
166,0.664,65.38636477232542
167,0.668,60.653130964176235
168,0.672,55.948169461838795
169,0.676,51.33491752121261
170,0.68,46.87122997931988
171,0.684,42.60818197156039
172,0.6880000000000001,38.58906313867707
173,0.6920000000000001,34.84858009420411
174,0.6960000000000001,31.41221158952056
175,0.7000000000000001,28.295796283215893
176,0.704,25.50535571285358
