,freq,F_abs_amp
0,0.0,0.06411314814646003
1,0.004,0.06396227934453957
2,0.008,0.06351809412918577
3,0.012,0.06280590479837389
4,0.016,0.06186798926842652
5,0.02,0.060763350664426265
6,0.024,0.05956703287705051
7,0.028,0.05836957547771759
8,0.032,0.057275899667800265
9,0.036000000000000004,0.05640169800050068
10,0.04,0.0558666587004472
11,0.044,0.05578435648619385
12,0.048,0.05624981785274268
13,0.052000000000000005,0.05732721376175637
14,0.056,0.05904122323026269
15,0.06,0.061374973896835945
16,0.064,0.06427485028837425
17,0.068,0.0676597729640261
18,0.07200000000000001,0.07143171243377813
19,0.076,0.0754850932739941
20,0.08,0.07971402545774779
21,0.084,0.08401864177873208
22,0.088,0.08831109174002263
23,0.092,0.0925199799867699
24,0.096,0.0965943108458547
25,0.1,0.10050822951915851
26,0.10400000000000001,0.10426482316382062
27,0.108,0.10789798269921391
28,0.112,0.11147249086337807
29,0.116,0.11508153673509358
30,0.12,0.11884101792160719
31,0.124,0.12288002066588943
32,0.128,0.12732768627072974
33,0.132,0.13229815062857272
34,0.136,0.13787576387862022
35,0.14,0.1441030068598078
36,0.14400000000000002,0.15097343297662946
37,0.148,0.15843099227158938
38,0.152,0.16637500667227387
39,0.156,0.17466867223181493
40,0.16,0.18314971336738564
41,0.164,0.19164165250217177
42,0.168,0.19996445026768325
43,0.17200000000000001,0.2079440112661134
44,0.176,0.21542123971766614
45,0.18,0.2222606896045191
46,0.184,0.22835902532385002
47,0.188,0.23365367003999013
48,0.192,0.23813129950697898
49,0.196,0.2418390442364336
50,0.2,0.24489805572752166
51,0.20400000000000001,0.24751474534591028
52,0.20800000000000002,0.2499869566693997
53,0.212,0.2527020017307702
54,0.216,0.25613095226729937
55,0.22,0.26081524440218534
56,0.224,0.26733325640601235
57,0.228,0.2762488998185783
58,0.232,0.2880536348654104
59,0.23600000000000002,0.30312118239529984
60,0.24,0.3216874958979168
61,0.244,0.34385484603602007
62,0.248,0.3696150311110467
63,0.252,0.3988862423428519
64,0.256,0.4315505117049646
65,0.26,0.4674796754013557
66,0.264,0.5065422645383866
67,0.268,0.5485977945164794
68,0.272,0.5934865745370669
69,0.276,0.641025791206605
70,0.28,0.6910072289649938
71,0.28400000000000003,0.7431879862477982
72,0.28800000000000003,0.7972809671209679
73,0.292,0.8529519232463566
74,0.296,0.9098236244425981
75,0.3,0.9674812075815926
76,0.304,1.0254848557303031
77,0.308,1.0833931065721532
78,0.312,1.140789658506417
79,0.316,1.1973098827388358
80,0.32,1.252666588340157
81,0.324,1.3066693321717289
82,0.328,1.3592340585388225
83,0.332,1.4103841708376046
84,0.336,1.4602436556298488
85,0.34,1.5090265531102767
86,0.34400000000000003,1.5570221896345304
87,0.34800000000000003,1.6045745526810797
88,0.352,1.6520561525915087
89,0.356,1.6998348977110518
90,0.36,1.7482407099621042
91,0.364,1.7975320758096023
92,0.368,1.8478664076941154
